July 2023 Contiguous U.S. County Maximum Temperature,,,,,,
Units: Degrees Fahrenheit,,,,,,
Missing: -99,,,,,,
Period of Record: 129 Years,,,,,,
ID,Name,State,Value,Rank,Anomaly (1901-2000 base period),1901-2000 Mean
AR-041,Desha County,Arkansas,91.4,43,-1.1,92.5
AR-043,Drew County,Arkansas,92.3,68,-0.3,92.6
AR-045,Faulkner County,Arkansas,92.3,72,-0.1,92.4
AR-047,Franklin County,Arkansas,91.7,87,0.6,91.1
AR-049,Fulton County,Arkansas,90.4,84,0.5,89.9
AR-051,Garland County,Arkansas,91.4,54,-0.7,92.1
AR-053,Grant County,Arkansas,92,47,-1.1,93.1
AR-055,Greene County,Arkansas,89.8,40,-1.7,91.5
AR-057,Hempstead County,Arkansas,90.9,31,-2.2,93.1
AR-059,Hot Spring County,Arkansas,91.8,46,-1.1,92.9
AR-061,Howard County,Arkansas,90.7,46,-1.4,92.1
AR-063,Independence County,Arkansas,89.6,48,-1.1,90.7
AR-065,Izard County,Arkansas,89.8,68,-0.6,90.4
AR-067,Jackson County,Arkansas,89.8,41,-1.4,91.2
AR-069,Jefferson County,Arkansas,91.8,53,-0.8,92.6
AR-071,Johnson County,Arkansas,90.6,82,0.3,90.3
AR-073,Lafayette County,Arkansas,92.3,49,-1.1,93.4
AR-075,Lawrence County,Arkansas,89.4,33,-1.8,91.2
AR-077,Lee County,Arkansas,91.6,69,-0.1,91.7
AR-079,Lincoln County,Arkansas,91.9,54,-0.7,92.6
AR-081,Little River County,Arkansas,92,53,-0.8,92.8
AR-083,Logan County,Arkansas,93,83,0.7,92.4
AR-085,Lonoke County,Arkansas,91.2,38,-1.4,92.6
AR-087,Madison County,Arkansas,88.4,81,0.7,87.7
AR-089,Marion County,Arkansas,90,75,-0.4,90.4
AR-091,Miller County,Arkansas,92.5,53,-0.8,93.3
AR-093,Mississippi County,Arkansas,89.5,31,-2.1,91.6
AR-095,Monroe County,Arkansas,91.3,58,-0.5,91.8
AR-097,Montgomery County,Arkansas,91.7,75,0.1,91.6
AR-099,Nevada County,Arkansas,91.1,30,-2.1,93.2
AR-101,Newton County,Arkansas,87.3,71,-0.4,87.7
AR-103,Ouachita County,Arkansas,91.8,44,-1.5,93.3
AR-105,Perry County,Arkansas,92.4,69,-0.3,92.7
AR-107,Phillips County,Arkansas,91.3,56,-0.5,91.8
AR-109,Pike County,Arkansas,91,45,-1.4,92.4
AR-111,Poinsett County,Arkansas,90.2,42,-1.4,91.6
AR-113,Polk County,Arkansas,89.9,64,-0.3,90.2
AR-115,Pope County,Arkansas,90.8,69,-0.4,91.2
AR-117,Prairie County,Arkansas,91,48,-1.2,92.2
AR-119,Pulaski County,Arkansas,91.6,46,-1.2,92.8
AR-121,Randolph County,Arkansas,90.2,59,-1,91.2
AR-123,St. Francis County,Arkansas,91.9,76,0.2,91.7
AR-125,Saline County,Arkansas,91.6,53,-0.9,92.5
AR-127,Scott County,Arkansas,92.3,92,0.9,91.4
AR-129,Searcy County,Arkansas,88.6,68,-0.7,89.3
AR-131,Sebastian County,Arkansas,93.5,89,0.9,92.6
AR-133,Sevier County,Arkansas,91.4,53,-0.8,92.2
AR-135,Sharp County,Arkansas,89.6,68,-0.8,90.4
AR-137,Stone County,Arkansas,89.5,74,-0.3,89.8
AR-139,Union County,Arkansas,92.6,69,-0.3,92.9
AR-141,Van Buren County,Arkansas,90.1,75,-0.1,90.2
AR-143,Washington County,Arkansas,90.1,89,1.1,89
AR-145,White County,Arkansas,91.6,76,0,91.6
AR-147,Woodruff County,Arkansas,91.2,59,-0.5,91.7
AR-149,Yell County,Arkansas,93,81,0.5,92.5
CA-001,Alameda County,California,86,120,3.7,82.3
CA-003,Alpine County,California,77.5,105,2.5,75
CA-005,Amador County,California,94.3,118,3.9,90.4
CA-007,Butte County,California,95.7,114,3.4,92.3
CA-009,Calaveras County,California,95,118,3.8,91.2
CA-011,Colusa County,California,97.1,98,1.7,95.4
CA-013,Contra Costa County,California,89.1,120,4.1,85.1
CA-015,Del Norte County,California,82.2,121,4.7,77.6
CA-017,El Dorado County,California,88.9,109,3.1,85.8
CA-019,Fresno County,California,91.4,116,3.2,88.2
CA-021,Glenn County,California,95.4,95,1.7,93.7
CA-023,Humboldt County,California,82,106,3,79
CA-025,Imperial County,California,111.9,129,6,105.9
CA-027,Inyo County,California,100,128,4.4,95.6
CA-029,Kern County,California,98.4,120,3.3,95.1
CA-031,Kings County,California,100.3,109,2.7,97.6
CA-033,Lake County,California,91.3,99,2,89.3
CA-035,Lassen County,California,87.7,115,3.9,83.8
CA-037,Los Angeles County,California,91.5,124,4,87.5
CA-039,Madera County,California,92.1,108,2.4,89.7
CA-041,Marin County,California,73.4,111,2.5,70.9
CA-043,Mariposa County,California,91.7,114,3.1,88.6
CA-045,Mendocino County,California,85.4,103,2.2,83.2
CA-047,Merced County,California,96.7,113,2.9,93.8
CA-049,Modoc County,California,88.1,119,5.3,82.8
CA-051,Mono County,California,82.2,116,3.3,78.9
CA-053,Monterey County,California,89.8,125,4,85.8
CA-055,Napa County,California,90.8,109,2.1,88.7
CA-057,Nevada County,California,88.1,119,3.9,84.2
CA-059,Orange County,California,85.5,120,3.3,82.2
CA-061,Placer County,California,89,115,3.3,85.7
CA-063,Plumas County,California,85.3,112,3.4,81.9
CA-065,Riverside County,California,104.8,129,5.5,99.3
CA-067,Sacramento County,California,96.8,114,3.5,93.3
CA-069,San Benito County,California,92.2,123,4.2,88
CA-071,San Bernardino County,California,105.1,129,5.7,99.4
CA-073,San Diego County,California,93.9,128,4.7,89.2
CA-075,San Francisco County,California,70.2,87,0.9,69.3
CA-077,San Joaquin County,California,96.8,121,4.3,92.5
CA-079,San Luis Obispo County,California,92.4,124,5.1,87.3
CA-081,San Mateo County,California,74.5,105,1.5,73
CA-083,Santa Barbara County,California,85.3,126,4.8,80.5
CA-085,Santa Clara County,California,86.6,124,3.7,82.9
CA-087,Santa Cruz County,California,80.3,123,4.1,76.2
CA-089,Shasta County,California,93.9,120,4.8,89.1
CA-091,Sierra County,California,83.6,113,3.4,80.2
CA-093,Siskiyou County,California,87.4,125,5.9,81.5
CA-095,Solano County,California,91.9,115,3.1,88.8
CA-097,Sonoma County,California,82.4,114,2.7,79.7
CA-099,Stanislaus County,California,95.8,112,3,92.8
CA-101,Sutter County,California,99.1,116,3.2,95.9
CA-103,Tehama County,California,94.6,107,2.8,91.8
CA-105,Trinity County,California,89.8,112,3.9,85.9
CA-107,Tulare County,California,89.6,114,2.8,86.8
CA-109,Tuolumne County,California,84.8,115,2.8,82
CA-111,Ventura County,California,86.7,122,4,82.7
CA-113,Yolo County,California,96.9,106,2.2,94.7
CA-115,Yuba County,California,96.7,118,3.9,92.8
CO-001,Adams County,Colorado,87.7,49,-0.7,88.4
CO-003,Alamosa County,Colorado,86.9,129,6.8,80.1
CO-005,Arapahoe County,Colorado,86.9,54,-0.4,87.3
CO-007,Archuleta County,Colorado,85.8,128,6.5,79.3
CO-009,Baca County,Colorado,90.5,47,-0.9,91.4
CO-011,Bent County,Colorado,91.2,47,-0.8,92
CO-013,Boulder County,Colorado,80.2,76,0.7,79.5
CO-014,Broomfield County,Colorado,87.8,63,0.1,87.7
CO-015,Chaffee County,Colorado,77,125,5.3,71.7
CO-017,Cheyenne County,Colorado,88.6,50,-0.5,89.1
CO-019,Clear Creek County,Colorado,72,115,2.9,69.1
CO-021,Conejos County,Colorado,80.6,128,6.4,74.2
CO-023,Costilla County,Colorado,83.3,128,7,76.3
CO-025,Crowley County,Colorado,92,85,1.3,90.7
CO-027,Custer County,Colorado,79.8,126,4.5,75.3
CO-029,Delta County,Colorado,88.4,127,6.1,82.3
CO-031,Denver County,Colorado,87.2,47,-0.7,87.9
CO-033,Dolores County,Colorado,83.3,128,6.3,77
CO-035,Douglas County,Colorado,82.6,71,0.5,82.1
CO-037,Eagle County,Colorado,77.9,120,3.7,74.2
CO-039,Elbert County,Colorado,86.3,80,1.1,85.2
CO-041,El Paso County,Colorado,85.4,96,2.3,83.1
CO-043,Fremont County,Colorado,84.3,121,3.7,80.6
CO-045,Garfield County,Colorado,82.5,123,4.4,78.1
CO-047,Gilpin County,Colorado,73.8,106,2,71.8
CO-049,Grand County,Colorado,75.2,113,2.7,72.5
CO-051,Gunnison County,Colorado,78.1,126,5.3,72.8
CO-053,Hinsdale County,Colorado,72.6,127,6.2,66.4
CO-055,Huerfano County,Colorado,86.4,127,5,81.4
CO-057,Jackson County,Colorado,74.7,90,1.7,73
CO-059,Jefferson County,Colorado,81.2,69,0.4,80.8
CO-061,Kiowa County,Colorado,89.6,39,-1.1,90.7
CO-063,Kit Carson County,Colorado,88.2,57,-0.1,88.3
CO-065,Lake County,Colorado,72.4,125,5,67.4
CO-067,La Plata County,Colorado,86.5,128,7.5,79
CO-069,Larimer County,Colorado,78.2,79,1.2,77
CO-071,Las Animas County,Colorado,89.6,113,2.8,86.8
CO-073,Lincoln County,Colorado,88.5,69,0.5,88
CO-075,Logan County,Colorado,86.7,29,-2.2,88.9
CO-077,Mesa County,Colorado,89.6,128,6.4,83.2
CO-079,Mineral County,Colorado,74.4,128,5.8,68.6
CO-081,Moffat County,Colorado,86.1,116,3.6,82.5
CO-083,Montezuma County,Colorado,91,128,6.2,84.8
CO-085,Montrose County,Colorado,90.2,128,6.5,83.7
CO-087,Morgan County,Colorado,87.4,45,-1.1,88.5
CO-089,Otero County,Colorado,91.7,62,0.3,91.4
CO-091,Ouray County,Colorado,82.9,128,8.1,74.8
CO-093,Park County,Colorado,76.2,124,3.9,72.3
CO-095,Phillips County,Colorado,87.3,32,-2.1,89.4
CO-097,Pitkin County,Colorado,75.2,123,4.5,70.7
CO-099,Prowers County,Colorado,90.3,32,-1.7,92
CO-101,Pueblo County,Colorado,92.2,113,2.9,89.3
CO-103,Rio Blanco County,Colorado,85,121,3.9,81.1
CO-105,Rio Grande County,Colorado,80.2,128,6.2,74
CO-107,Routt County,Colorado,78.4,110,2.8,75.6
CO-109,Saguache County,Colorado,79.8,128,5.5,74.3
CO-111,San Juan County,Colorado,70.3,128,7.3,63
CO-113,San Miguel County,Colorado,86,128,6.5,79.5
CO-115,Sedgwick County,Colorado,86.2,24,-3,89.2
CO-117,Summit County,Colorado,72.1,118,3.4,68.7
CO-119,Teller County,Colorado,77,109,3,74
CO-121,Washington County,Colorado,85.7,18,-2.8,88.5
CO-123,Weld County,Colorado,86.2,32,-1.6,87.8
CO-125,Yuma County,Colorado,88,41,-1.3,89.3
CT-001,Fairfield County,Connecticut,86.1,117,3.7,82.4
CT-003,Hartford County,Connecticut,85.8,111,2.9,82.9
CT-005,Litchfield County,Connecticut,83.4,114,3.2,80.2
CT-007,Middlesex County,Connecticut,85,117,3.1,81.9
CT-009,New Haven County,Connecticut,85.4,116,3.2,82.2
CT-011,New London County,Connecticut,83.9,114,3.1,80.8
CT-013,Tolland County,Connecticut,84,112,2.9,81.1
CT-015,Windham County,Connecticut,83.4,111,2.6,80.8
DE-001,Kent County,Delaware,87.3,94,1.6,85.7
DE-003,New Castle County,Delaware,86.6,88,0.9,85.7
DE-005,Sussex County,Delaware,87.8,99,2.3,85.5
FL-001,Alachua County,Florida,93.2,118,2.2,91
FL-003,Baker County,Florida,94.9,128,3.9,91
FL-005,Bay County,Florida,92.6,124,3.1,89.5
FL-007,Bradford County,Florida,93.7,124,2.8,90.9
FL-009,Brevard County,Florida,91.4,120,1.9,89.5
FL-011,Broward County,Florida,93.9,129,3.4,90.5
FL-013,Calhoun County,Florida,93,121,2.3,90.7
FL-015,Charlotte County,Florida,94,129,2.6,91.4
FL-017,Citrus County,Florida,92.3,121,2.3,90
FL-019,Clay County,Florida,94.1,127,3.4,90.7
FL-021,Collier County,Florida,95,129,3.5,91.5
FL-023,Columbia County,Florida,94.6,128,3.5,91.1
FL-027,DeSoto County,Florida,93.7,123,2,91.7
FL-029,Dixie County,Florida,94.2,128,4,90.2
FL-031,Duval County,Florida,94.6,128,4.3,90.3
FL-033,Escambia County,Florida,93.6,124,2.8,90.8
FL-035,Flagler County,Florida,92.9,122,2.7,90.2
FL-037,Franklin County,Florida,91.9,112,1.7,90.2
FL-039,Gadsden County,Florida,93.3,110,1.9,91.4
FL-041,Gilchrist County,Florida,94,128,3.5,90.5
FL-043,Glades County,Florida,93.4,126,2.1,91.3
FL-045,Gulf County,Florida,91.7,120,2.4,89.3
FL-047,Hamilton County,Florida,94.6,124,2.9,91.7
FL-049,Hardee County,Florida,93.7,122,2.3,91.4
FL-051,Hendry County,Florida,94.3,129,3,91.3
FL-053,Hernando County,Florida,92.7,127,3,89.7
FL-055,Highlands County,Florida,93.3,119,1.6,91.7
FL-057,Hillsborough County,Florida,93.5,128,3.7,89.8
FL-059,Holmes County,Florida,93.2,105,1.6,91.6
FL-061,Indian River County,Florida,92.3,127,2.8,89.5
FL-063,Jackson County,Florida,93.1,100,1.5,91.6
FL-065,Jefferson County,Florida,93.5,117,2.4,91.1
FL-067,Lafayette County,Florida,93.9,127,3.2,90.7
FL-069,Lake County,Florida,93.3,122,2.4,90.9
FL-071,Lee County,Florida,94.3,129,3.3,91
FL-073,Leon County,Florida,93.7,115,2.3,91.4
FL-075,Levy County,Florida,93.5,128,3.7,89.8
FL-077,Liberty County,Florida,93,118,2.3,90.7
FL-079,Madison County,Florida,93.6,119,2.5,91.1
FL-081,Manatee County,Florida,94.1,129,3.5,90.6
FL-083,Marion County,Florida,92.9,118,2,90.9
FL-085,Martin County,Florida,93.1,129,3,90.1
FL-086,Miami-Dade County,Florida,94,129,3.9,90.1
FL-087,Monroe County,Florida,94.1,129,4,90.1
FL-089,Nassau County,Florida,95,128,4.1,90.9
FL-091,Okaloosa County,Florida,93.8,123,2.6,91.2
FL-093,Okeechobee County,Florida,93.2,125,2.5,90.7
FL-095,Orange County,Florida,93.4,122,2.1,91.3
FL-097,Osceola County,Florida,93.4,123,2.3,91.1
FL-099,Palm Beach County,Florida,93.2,127,2.7,90.5
FL-101,Pasco County,Florida,92.9,126,3.4,89.5
FL-103,Pinellas County,Florida,93.4,128,4.3,89.1
FL-105,Polk County,Florida,93.9,123,2.5,91.4
FL-107,Putnam County,Florida,93.3,121,2.4,90.9
FL-109,St. Johns County,Florida,93.3,126,3.5,89.8
FL-111,St. Lucie County,Florida,93.1,129,3.3,89.8
FL-113,Santa Rosa County,Florida,93.6,121,2.4,91.2
FL-115,Sarasota County,Florida,94.1,129,2.9,91.2
FL-117,Seminole County,Florida,93.2,120,1.9,91.3
FL-119,Sumter County,Florida,92.8,122,2.4,90.4
FL-121,Suwannee County,Florida,94.1,126,3,91.1
FL-123,Taylor County,Florida,93.6,125,2.9,90.7
FL-125,Union County,Florida,94,127,3.1,90.9
FL-127,Volusia County,Florida,92.9,123,2.3,90.6
FL-129,Wakulla County,Florida,93.4,114,2.1,91.3
FL-131,Walton County,Florida,93.3,117,2.4,90.9
FL-133,Washington County,Florida,93.3,116,2.2,91.1
GA-001,Appling County,Georgia,94.9,114,2.3,92.6
GA-003,Atkinson County,Georgia,94.1,107,1.8,92.3
GA-005,Bacon County,Georgia,94.9,115,2.3,92.6
GA-007,Baker County,Georgia,92.6,90,0.9,91.7
GA-009,Baldwin County,Georgia,93.3,97,1.3,92
GA-011,Banks County,Georgia,90.4,100,1.4,89
GA-013,Barrow County,Georgia,91.2,104,1.9,89.3
GA-015,Bartow County,Georgia,90.3,61,-0.3,90.6
GA-017,Ben Hill County,Georgia,93.3,109,2.2,91.1
GA-019,Berrien County,Georgia,93.2,104,1.4,91.8
GA-021,Bibb County,Georgia,93.5,103,2,91.5
GA-023,Bleckley County,Georgia,93.7,100,2.2,91.5
GA-025,Brantley County,Georgia,95.8,127,4.1,91.7
GA-027,Brooks County,Georgia,93.1,109,1.6,91.5
GA-029,Bryan County,Georgia,93.7,105,2,91.7
GA-031,Bulloch County,Georgia,93.6,104,1.7,91.9
GA-033,Burke County,Georgia,91.9,84,0.8,91.1
GA-035,Butts County,Georgia,93.1,107,2.3,90.8
GA-037,Calhoun County,Georgia,91.9,84,0.6,91.3
GA-039,Camden County,Georgia,94.5,126,3.8,90.7
GA-043,Candler County,Georgia,93.9,102,1.7,92.2
GA-045,Carroll County,Georgia,90,96,1.2,88.8
GA-047,Catoosa County,Georgia,89.2,57,-0.4,89.6
GA-049,Charlton County,Georgia,95.8,128,4.2,91.6
GA-051,Chatham County,Georgia,93.1,110,2.1,91
GA-053,Chattahoochee County,Georgia,91.9,87,0.7,91.2
GA-055,Chattooga County,Georgia,90,63,-0.3,90.3
GA-057,Cherokee County,Georgia,88.9,74,0,88.9
GA-059,Clarke County,Georgia,91.8,103,2.1,89.7
GA-061,Clay County,Georgia,91.7,87,0.7,91.1
GA-063,Clayton County,Georgia,92,114,2.5,89.5
GA-065,Clinch County,Georgia,95.1,121,2.9,92.2
GA-067,Cobb County,Georgia,90.4,95,1,89.4
GA-069,Coffee County,Georgia,93.9,108,1.9,92
GA-071,Colquitt County,Georgia,92.6,103,1.6,91
GA-073,Columbia County,Georgia,90.4,54,-0.7,91.1
GA-075,Cook County,Georgia,92.8,101,1.3,91.5
GA-077,Coweta County,Georgia,90.8,95,1.2,89.6
GA-079,Crawford County,Georgia,92.8,102,1.7,91.1
GA-081,Crisp County,Georgia,93.2,110,2.4,90.8
GA-083,Dade County,Georgia,87.4,53,-0.6,88
GA-085,Dawson County,Georgia,87,73,0,87
GA-087,Decatur County,Georgia,93.2,98,1.3,91.9
GA-089,DeKalb County,Georgia,91.7,110,2.5,89.2
GA-091,Dodge County,Georgia,93.8,104,2.3,91.5
GA-093,Dooly County,Georgia,93.2,105,2.1,91.1
GA-095,Dougherty County,Georgia,92.9,99,1.3,91.6
GA-097,Douglas County,Georgia,90.6,102,1.5,89.1
GA-099,Early County,Georgia,92.2,89,0.8,91.4
GA-101,Echols County,Georgia,94.9,122,2.9,92
GA-103,Effingham County,Georgia,93.5,106,2,91.5
GA-105,Elbert County,Georgia,91.8,102,1.7,90.1
GA-107,Emanuel County,Georgia,93.4,99,1.5,91.9
GA-109,Evans County,Georgia,94.4,106,1.9,92.5
GA-111,Fannin County,Georgia,84.5,55,-0.6,85.1
GA-113,Fayette County,Georgia,91.4,106,1.8,89.6
GA-115,Floyd County,Georgia,90.7,58,-0.3,91
GA-117,Forsyth County,Georgia,88.8,87,0.7,88.1
GA-119,Franklin County,Georgia,90.8,99,1.6,89.2
GA-121,Fulton County,Georgia,91,103,1.9,89.1
GA-123,Gilmer County,Georgia,85.1,51,-0.8,85.9
GA-125,Glascock County,Georgia,91.7,82,0.6,91.1
GA-127,Glynn County,Georgia,93.9,125,3.2,90.7
GA-129,Gordon County,Georgia,90.3,60,-0.3,90.6
GA-131,Grady County,Georgia,93.2,110,1.9,91.3
GA-133,Greene County,Georgia,92.3,94,1.3,91
GA-135,Gwinnett County,Georgia,90.7,102,1.9,88.8
GA-137,Habersham County,Georgia,87.4,87,0.6,86.8
GA-139,Hall County,Georgia,89.3,101,1.2,88.1
GA-141,Hancock County,Georgia,92.2,84,0.7,91.5
GA-143,Haralson County,Georgia,89.2,80,0.4,88.8
GA-145,Harris County,Georgia,90.7,84,0.6,90.1
GA-147,Hart County,Georgia,91.1,104,2.1,89
GA-149,Heard County,Georgia,90.6,92,0.9,89.7
GA-151,Henry County,Georgia,92.5,112,2.4,90.1
GA-153,Houston County,Georgia,93.4,102,2.1,91.3
GA-155,Irwin County,Georgia,93,105,1.8,91.2
GA-157,Jackson County,Georgia,91.1,106,1.9,89.2
GA-159,Jasper County,Georgia,93.3,105,2.2,91.1
GA-161,Jeff Davis County,Georgia,94.2,109,2,92.2
GA-163,Jefferson County,Georgia,92.3,91,1.1,91.2
GA-165,Jenkins County,Georgia,92.8,98,1.5,91.3
GA-167,Johnson County,Georgia,93.3,99,1.5,91.8
GA-169,Jones County,Georgia,93.3,104,1.8,91.5
GA-171,Lamar County,Georgia,92.1,103,1.9,90.2
GA-173,Lanier County,Georgia,93.8,108,1.6,92.2
GA-175,Laurens County,Georgia,93.9,102,2,91.9
GA-177,Lee County,Georgia,92.9,102,1.4,91.5
GA-179,Liberty County,Georgia,93.9,111,2.2,91.7
GA-181,Lincoln County,Georgia,90.4,54,-0.7,91.1
GA-183,Long County,Georgia,94.7,115,2.5,92.2
GA-185,Lowndes County,Georgia,93.6,112,1.8,91.8
GA-187,Lumpkin County,Georgia,86.5,78,0.3,86.2
GA-189,McDuffie County,Georgia,90.6,70,-0.2,90.8
GA-191,McIntosh County,Georgia,93.8,120,2.8,91
GA-193,Macon County,Georgia,92.8,100,1.5,91.3
GA-195,Madison County,Georgia,91.4,106,2.1,89.3
GA-197,Marion County,Georgia,91.4,87,0.7,90.7
GA-199,Meriwether County,Georgia,90.8,95,1.1,89.7
GA-201,Miller County,Georgia,92.7,91,1,91.7
GA-205,Mitchell County,Georgia,92.9,101,1.5,91.4
GA-207,Monroe County,Georgia,93,105,1.9,91.1
GA-209,Montgomery County,Georgia,94.3,106,2,92.3
GA-211,Morgan County,Georgia,93,106,2.2,90.8
GA-213,Murray County,Georgia,88,43,-1.1,89.1
GA-215,Muscogee County,Georgia,91.9,90,0.9,91
GA-217,Newton County,Georgia,92.9,110,2.5,90.4
GA-219,Oconee County,Georgia,92.3,104,2.2,90.1
GA-221,Oglethorpe County,Georgia,92.2,100,1.9,90.3
GA-223,Paulding County,Georgia,90,81,0.5,89.5
